School Year,Gender Description,School Code,School,School Type Description,Community Code,Community Description,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI,matched_name
2017-2018,Total,1980031,Johnson,Public,198,Natick,Total,Asthma,23,229.0,10,5.9,14.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Johnson School
2017-2018,Total,1550305,Jonas Clarke Middle,Public,155,Lexington,Total,Asthma,71,926.0,7.7,5.9,9.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Jonas Clarke Middle School
2017-2018,Total,3080010,Jonathan Bright Elementary School,Public,308,Waltham,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Nathaniel Morton Elementary School
2017-2018,Total,1920820,Jonathan Edwards Academy,Private,114,Greenfield,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,John Dewey Academy
2017-2018,Total,1670014,Jordan/Jackson Elementary,Public,167,Mansfield,Total,Asthma,118,787.0,15,12.3,17.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Jordan/Jackson Elementary School
2017-2018,Total,790020,Joseph A Campbell Elementary,Public,79,Dracut,Total,Asthma,42,516.0,8.1,5.7,10.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph A Campbell Elementary School
2017-2018,Total,570055,Joseph A. Browne School,Public,57,Chelsea,Total,Asthma,48,615.0,7.8,5.6,10,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph A. Browne School
2017-2018,Total,2930008,Joseph C Chamberlain,Public,293,Taunton,Total,Asthma,68,517.0,13.2,10.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph C Chamberlain School
2017-2018,Total,2920305,Joseph Case Jr High,Public,292,Swansea,Total,Asthma,109,521.0,20.9,17,24.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph Case Jr High School
2017-2018,Total,720015,Joseph Demello,Public,72,Dartmouth,Total,Asthma,54,432.0,12.5,9.2,15.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph Demello School
2017-2018,Total,3170015,Joseph E Fiske,Public,317,Wellesley,Total,Asthma,49,298.0,16.4,11.8,21,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph E Fiske School
2017-2018,Total,1550010,Joseph Estabrook,Public,155,Lexington,Total,Asthma,55,572.0,9.6,7.1,12.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph Estabrook School
2017-2018,Total,440120,Joseph F Plouffe Elem,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Joseph F DiPietro Elementary School
2017-2018,Total,440422,Joseph F. Plouffe Academy,Public,44,Brockton,Total,Asthma,152,686.0,22.2,18.7,25.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Falmouth Academy
2017-2018,Total,2920020,Joseph G Luther,Public,292,Swansea,Total,Asthma,55,228.0,24.1,17.7,30.5,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph G Luther School
2017-2018,Total,2850025,Joseph H Gibbons,Public,285,Stoughton,Total,Asthma,61,357.0,17.1,12.8,21.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph H Gibbons School
2017-2018,Total,2930042,Joseph H Martin,Public,293,Taunton,Total,Asthma,127,676.0,18.8,15.5,22.1,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph H. Martin Middle School
2017-2018,Total,350182,Joseph J Hurley,Public,35,Boston,Total,Asthma,76,327.0,23.2,18,28.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph G Luther School
2017-2018,Total,350183,Joseph Lee,Public,35,Boston,Total,Asthma,127,595.0,21.3,17.6,25,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,St. Joseph School
2017-2018,Total,1600010,Joseph McAvinnue,Public,160,Lowell,Total,Asthma,71,458.0,15.5,11.9,19.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph McAvinnue School
2017-2018,Total,1370003,Joseph Metcalf School,Public,137,Holyoke,Total,Asthma,29,159.0,18.2,11.6,24.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph Metcalf School
2017-2018,Total,650010,Joseph Osgood,Public,65,Cohasset,Total,Asthma,7,322.0,2.2,.6,3.8,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Joseph Osgood School
2017-2018,Total,350184,Joseph P Manning,Public,35,Boston,Total,Asthma,25,140.0,17.9,10.9,24.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Howe-Manning School
2017-2018,Total,350181,Joseph P Tynan,Public,35,Boston,Total,Asthma,24,189.0,12.7,7.6,17.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph G Luther School
2017-2018,Total,2850014,Joseph R Dawe Jr Elementary,Public,285,Stoughton,Total,Asthma,35,357.0,9.8,6.6,13,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph R Dawe Jr Elementary School
2017-2018,Total,2120013,Joseph W Martin Jr Elementary,Public,211,North Attleborough,Total,Asthma,77,636.0,12.1,9.4,14.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joseph W Martin Jr Elementary School
2017-2018,Total,2460010,Joshua Eaton,Public,246,Reading,Total,Asthma,41,388.0,10.6,7.4,13.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Joshua Eaton School
2017-2018,Total,2880010,Josiah Haynes,Public,288,Sudbury,Total,Asthma,57,380.0,15,11.1,18.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Josiah Haynes School
2017-2018,Total,350286,Josiah Quincy,Public,35,Boston,Total,Asthma,212,749.0,28.3,24.5,32.1,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Josiah Haynes School
2017-2018,Total,350190,Joyce Kilmer,Public,35,Boston,Total,Asthma,27,422.0,6.4,4,8.8,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,The Kindle Center
2017-2018,Total,420810,Joyful Learning Southbrook Academy,Private,42,Bridgewater,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Baldwin Early Learning Pilot Academy
2017-2018,Total,170005,Julia Bancroft,Public,17,Auburn,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Bancroft School
2017-2018,Total,1630030,Julia F Callahan,Public,163,Lynn,Total,Asthma,51,406.0,12.6,9.1,16.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Julia F Callahan School
2017-2018,Total,1530805,Julie Country Day,Private,153,Leominster,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Shore Country Day School
2017-2018,Total,790410,Justus C. Richardson Middle School,Public,79,Dracut,Total,Asthma,211,877.0,24.1,20.8,27.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Justus C. Richardson Middle School
2017-2018,Total,1280880,Kadima Community Day School,Private,9,Andover,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Jewish Community Day School
2017-2018,Total,3170005,Katharine Lee Bates,Public,317,Wellesley,Total,Asthma,22,372.0,5.9,3.4,8.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Katharine Lee Bates School
2017-2018,Total,1600360,Kathryn P. Stoklosa Middle School,Public,160,Lowell,Total,Asthma,134,684.0,19.6,16.3,22.9,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kathryn P. Stoklosa Middle School
2017-2018,Total,2010405,Keith Middle School,Public,201,New Bedford,Total,Asthma,202,892.0,22.6,19.5,25.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Keith Middle School
2017-2018,Total,2040020,Kelley,Public,206,Newburyport,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Kiley Prep
2017-2018,Total,1370040,Kelly Elementary,Public,137,Holyoke,Total,Asthma,131,547.0,23.9,19.8,28,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kelly Elementary School
2017-2018,Total,490040,Kennedy-Longfellow,Public,49,Cambridge,Total,Asthma,36,252.0,14.3,9.6,19,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kennedy-Longfellow School
2017-2018,Total,1720005,Kenneth Coombs School,Public,172,Mashpee,Total,Asthma,44,342.0,12.9,9.1,16.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kenneth Coombs School
2017-2018,Total,2810110,Kensington International School,Public,281,Springfield,Total,Asthma,72,310.0,23.2,17.8,28.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kensington International School
2017-2018,Total,250510,Keough Memorial Academy,Public,25,Bellingham,Total,Asthma,0,4.0,0,0,159.9,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Keough Memorial Academy
2017-2018,Total,1000005,King Elementary School,Public,100,Framingham,Total,Asthma,50,283.0,17.7,12.8,22.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,King Elementary School
2017-2018,Total,350376,King K-8,Public,35,Boston,Total,Asthma,94,428.0,22,17.6,26.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,King's Academy
2017-2018,Total,490035,King Open,Public,49,Cambridge,Total,Asthma,45,298.0,15.1,10.7,19.5,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,King Open School
2017-2018,Total,6900510,King Philip Middle School,Public,208,Norfolk,Total,Asthma,17,740.0,2.3,1.2,3.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,King Philip Regional Middle School
2017-2018,Total,350760,Kingsley Montessori,Private,35,Boston,Total,Asthma,13,218.0,6,2.7,9.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kingsley Montessori School
2017-2018,Total,1450005,Kingston Elementary,Public,145,Kingston,Total,Asthma,46,451.0,10.2,7.3,13.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kingston Elementary School
2017-2018,Total,1450020,Kingston Intermediate,Public,145,Kingston,Total,Asthma,36,573.0,6.3,4.2,8.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kingston Intermediate School
2017-2018,Total,4630205,KIPP Academy Boston Charter School,Charter,35,Boston,Total,Asthma,137,558.0,24.6,20.5,28.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,KIPP Academy Boston Charter School
2017-2018,Total,4290010,KIPP Academy Lynn Charter School,Charter,163,Lynn,Total,Asthma,61,853.0,7.2,5.4,9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,KIPP Academy Lynn Charter School
2017-2018,Total,2110015,Kittredge,Public,210,North Andover,Total,Asthma,35,288.0,12.2,8.2,16.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Kittredge School
2017-2018,Total,6350035,Kittredge,Public,132,Hinsdale,Total,Asthma,6,118.0,5.1,1,9.2,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Kittredge School
2017-2018,Total,90810,Knowledge Academy,Private,184,Middleton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Noble Academy
2017-2018,Total,1840820,Knowledge Academy,Private,184,Middleton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Noble Academy
2017-2018,Total,7670415,Knox Trail Middle School,Public,280,Spencer,Total,Asthma,80,417.0,19.2,15,23.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Knox Trail Middle School
2017-2018,Total,2170005,L D Batchelder,Public,213,North Reading,Total,Asthma,36,464.0,7.8,5.3,10.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,L.D. Batchelder School
2017-2018,Total,2950001,L F Dewing,Public,295,Tewksbury,Total,Asthma,48,404.0,11.9,8.5,15.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,"CLASS, Inc."
2017-2018,Total,2180010,L G Nourse Elementary,Public,218,Norton,Total,Asthma,32,285.0,11.2,7.3,15.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,L.G. Nourse Elementary School
2017-2018,Total,1680010,L H Coffin,Public,168,Marblehead,Total,Asthma,9,153.0,5.9,2,9.8,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,"CLASS, Inc."
2017-2018,Total,930038,Lafayette School,Public,93,Everett,Total,Asthma,96,944.0,10.2,8.2,12.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lafayette School
2017-2018,Total,7670010,Lake Street,Public,280,Spencer,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Park Street School
2017-2018,Total,3480145,Lake View,Public,348,Worcester,Total,Asthma,31,285.0,10.9,7.1,14.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lake View School
2017-2018,Total,2290815,Lakeside,Private,229,Peabody,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Clarke School
2017-2018,Total,6250050,Laliberte Elementary School,Public,245,Raynham,Total,Asthma,56,490.0,11.4,8.4,14.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Laliberte Elementary School
2017-2018,Total,610040,Lambert-Lavoie,Public,61,Chicopee,Total,Asthma,21,317.0,6.6,3.8,9.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lambert-Lavoie Memorial Elementary School
2017-2018,Total,2100815,Lander Grinspoon Academy,Private,214,Northampton,Total,Asthma,NS,61.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Lander Grinspoon Academy
2017-2018,Total,1480005,Lanesborough Elementary,Public,148,Lanesborough,Total,Asthma,18,192.0,9.4,5.1,13.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lanesborough Elementary School
2017-2018,Total,1600019,Laura Lee Alternative School,Public,160,Lowell,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Laura Lee Therapeutic Day School
2017-2018,Total,1600085,Laura Lee Therapeutic Day School,Public,160,Lowell,Total,Asthma,NS,23.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Laura Lee Therapeutic Day School
2017-2018,Total,950080,Laurel Lake,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,The Laurel School
2017-2018,Total,6450020,Laurence C MacArthur Elementary,Public,351,Yarmouth,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Douglas MacArthur Elementary School
2017-2018,Total,1490002,Lawlor Early Childhood Center,Public,149,Lawrence,Total,Asthma,19,163.0,11.7,6.4,17,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawlor Early Childhood Center
2017-2018,Total,460030,Lawrence,Public,46,Brookline,Total,Asthma,76,722.0,10.5,8.1,12.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence School
2017-2018,Total,960405,Lawrence,Public,96,Falmouth,Total,Asthma,71,599.0,11.9,9.1,14.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence School
2017-2018,Total,1490802,Lawrence Catholic Academy,Private,149,Lawrence,Total,Asthma,47,426.0,11,7.9,14.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence Catholic Academy
2017-2018,Total,1370010,Lawrence Elem,Public,137,Holyoke,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence Academy
2017-2018,Total,4540205,Lawrence Family Development Charter School,Charter,149,Lawrence,Total,Asthma,135,653.0,20.7,17.2,24.2,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence Family Development Charter School
2017-2018,Total,1490011,Lawrence Family Public Academy,Public,149,Lawrence,Total,Asthma,11,147.0,7.5,3.1,11.9,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence Family Public Academy
2017-2018,Total,3360065,Lawrence W Pingree,Public,336,Weymouth,Total,Asthma,20,193.0,10.4,5.8,15,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lawrence W Pingree School
2017-2018,Total,1600320,Leblanc Therapeutic Day School,Public,160,Lowell,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Leblanc Therapeutic Day School
2017-2018,Total,350001,Lee Academy,Public,35,Boston,Total,Asthma,42,178.0,23.6,16.5,30.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lee Academy
2017-2018,Total,1500025,Lee Elementary,Public,150,Lee,Total,Asthma,44,329.0,13.4,9.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lee Elementary School
2017-2018,Total,1500505,Lee Middle/High School,Public,150,Lee,Total,Asthma,NS,110.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Lee Middle/High School
2017-2018,Total,2100025,Leeds,Public,214,Northampton,Total,Asthma,57,283.0,20.1,14.9,25.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leeds School
2017-2018,Total,2200815,Legacy Christian Academy,Private,218,Norton,Total,Asthma,NS,42.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Legacy Christian Academy
2017-2018,Total,1510005,Leicester Memorial Elementary,Public,151,Leicester,Total,Asthma,40,333.0,12,8.3,15.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Manchester Memorial Elementary School
2017-2018,Total,1510015,Leicester Middle,Public,151,Leicester,Total,Asthma,26,412.0,6.3,3.9,8.7,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leicester Middle School
2017-2018,Total,1510010,Leicester Primary School,Public,151,Leicester,Total,Asthma,28,294.0,9.5,6,13,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leicester Elementary School
2017-2018,Total,1520505,Lenox Memorial High,Public,152,Lenox,Total,Asthma,9,199.0,4.5,1.6,7.4,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lenox Memorial High School
2017-2018,Total,950090,Leontine Lincoln,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Leominster High School
2017-2018,Total,7750032,Leroy E.Mayo,Public,134,Holden,Total,Asthma,26,477.0,5.5,3.4,7.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leroy E. Mayo School
2017-2018,Total,940030,Leroy Wood,Public,94,Fairhaven,Total,Asthma,93,490.0,19,15.1,22.9,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leroy Wood School
2017-2018,Total,100842,Lesley Ellis,Private,10,Arlington,Total,Asthma,19,115.0,16.5,9.1,23.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lesley Ellis School
2017-2018,Total,950013,Letourneau Elementary School,Public,95,Fall River,Total,Asthma,121,588.0,20.6,16.9,24.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Letourneau Elementary School
2017-2018,Total,1540005,Leverett Elementary,Public,154,Leverett,Total,Asthma,17,111.0,15.3,8,22.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Leverett Elementary School
2017-2018,Total,350455,Lewis Middle School,Public,35,Boston,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Wilson Middle School
2017-2018,Total,1550805,Lexington Christian Academy,Private,155,Lexington,Total,Asthma,NS,99.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Lexington Christian Academy
2017-2018,Total,1550820,Lexington Montessori,Private,155,Lexington,Total,Asthma,20,133.0,15,8.4,21.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lexington Montessori School
2017-2018,Total,400025,Liberty,Public,40,Braintree,Total,Asthma,61,460.0,13.3,10,16.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Liberty School
2017-2018,Total,2810115,Liberty,Public,281,Springfield,Total,Asthma,25,283.0,8.8,5.4,12.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Liberty School
2017-2018,Total,1330805,Lighthouse Baptist Christian Academy,Private,133,Holbrook,Total,Asthma,NS,7.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Lighthouse Baptist Christian Academy
2017-2018,Total,1980035,Lilja Elementary,Public,198,Natick,Total,Asthma,23,431.0,5.3,3.1,7.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lilja Elementary School
2017-2018,Total,350383,Lilla G. Frederick Middle School,Public,35,Boston,Total,Asthma,0,494.0,0,0,1.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Frederick Pilot Middle School
2017-2018,Total,1420015,Lillian M Jacobs,Public,142,Hull,Total,Asthma,21,356.0,5.9,3.4,8.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lillian M. Jacobs School
2017-2018,Total,2710812,Lilliput School,Private,271,Shrewsbury,Total,Asthma,NS,18.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Lilliput School
2017-2018,Total,1780020,Lincoln,Public,178,Melrose,Total,Asthma,23,421.0,5.5,3.3,7.7,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln School
2017-2018,Total,2810120,Lincoln,Public,281,Springfield,Total,Asthma,27,404.0,6.7,4.2,9.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln School
2017-2018,Total,1820020,Lincoln D Lynch School,Public,182,Middleborough,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln School
2017-2018,Total,3440005,Lincoln Elementary,Public,344,Winchester,Total,Asthma,35,403.0,8.7,5.8,11.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln Elementary School
2017-2018,Total,1570025,Lincoln School,Public,157,Lincoln,Total,Asthma,50,535.0,9.3,6.7,11.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln School
2017-2018,Total,2130003,Lincoln Street,Public,215,Northborough,Total,Asthma,10,255.0,3.9,1.5,6.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln Street School
2017-2018,Total,3480160,Lincoln Street,Public,348,Worcester,Total,Asthma,71,270.0,26.3,20.2,32.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln Street School
2017-2018,Total,2070070,Lincoln-Eliot,Public,207,Newton,Total,Asthma,48,374.0,12.8,9.2,16.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln School
2017-2018,Total,2430035,Lincoln-Hancock Community School,Public,243,Quincy,Total,Asthma,32,517.0,6.2,4.1,8.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln-Hancock Community School
2017-2018,Total,1630070,Lincoln-Thomson,Public,163,Lynn,Total,Asthma,31,240.0,12.9,8.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lincoln-Thomson School
2017-2018,Total,1650047,Linden,Public,165,Malden,Total,Asthma,119,871.0,13.7,11.2,16.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Linden School
2017-2018,Total,3470025,Linscott-Rumford,Public,347,Woburn,Total,Asthma,26,207.0,12.6,7.8,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Linscott-Rumford School
2017-2018,Total,2010823,Little People's College,Private,201,New Bedford,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Little People's College
2017-2018,Total,1580305,Littleton Middle School,Public,158,Littleton,Total,Asthma,34,362.0,9.4,6.2,12.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Littleton Middle School
2017-2018,Total,6720143,Littleville Elementary School,Public,143,Huntington,Total,Asthma,29,280.0,10.4,6.6,14.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Littleville Elementary School
2017-2018,Total,610022,Litwin,Public,61,Chicopee,Total,Asthma,72,418.0,17.2,13.2,21.2,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Litwin School
2017-2018,Total,310310,Locke Middle,Public,31,Billerica,Total,Asthma,17,506.0,3.4,1.8,5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Locke Middle School
2017-2018,Total,3150020,Loker School,Public,315,Wayland,Total,Asthma,24,281.0,8.5,5.1,11.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Loker School
2017-2018,Total,440065,Louis F Angelo Elementary,Public,44,Brockton,Total,Asthma,136,916.0,14.8,12.3,17.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Louis F Angelo Elementary School
2017-2018,Total,7800010,Louise A Conley,Public,338,Whitman,Total,Asthma,66,562.0,11.7,8.9,14.5,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Louise A Conley School
2017-2018,Total,2950025,Louise Davy Trahan,Public,295,Tewksbury,Total,Asthma,28,234.0,12,7.6,16.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Louise A Conley School
2017-2018,Total,1600870,Lowell Catholic,Private,160,Lowell,Total,Asthma,17,297.0,5.7,3,8.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Lowell Catholic School
